5.10,6.56,2.83,1.54,0.00,2.86,2.58,0.52,6.73,8.09,2.42,1.24,6.00,9.63,41.37,1.64,31.90,16.85,3.89,5.37,7.85,6.26,3.75,
3.45,8.20,3.18,3.41,0.00,2.42,3.35,2.16,3.99,6.67,7.51,1.24,13.00,13.89,22.72,13.11,12.70,13.73,22.38,4.97,6.85,7.90,4.66,
3.34,6.86,3.01,6.52,0.00,1.58,5.02,2.74,9.58,3.89,8.12,0.78,11.94,12.62,37.70,2.00,32.68,16.89,7.06,3.63,9.92,9.91,5.69,
4.34,6.02,4.13,3.96,0.00,3.16,4.07,0.22,7.27,8.57,8.78,1.75,9.49,10.14,58.42,1.05,17.61,26.29,13.29,3.79,11.68,7.26,7.16,
4.27,6.42,2.40,1.85,0.00,0.51,2.09,0.21,6.23,11.45,4.51,2.07,8.41,9.41,22.79,0.06,30.45,6.35,33.45,10.23,3.74,4.01,6.69,
6.31,9.75,4.66,0.72,0.00,2.41,3.19,2.05,9.84,26.00,4.22,3.57,19.56,10.03,35.51,2.70,27.35,17.13,8.34,3.43,4.95,7.00,4.98,
6.81,6.97,4.67,2.55,0.00,1.85,4.84,1.96,3.33,14.63,6.99,0.39,9.03,12.94,36.34,0.00,33.55,13.66,6.79,2.25,3.48,5.85,5.04,
5.66,5.88,3.87,3.25,0.00,3.26,2.53,1.39,8.25,9.07,12.62,1.46,10.67,8.82,26.27,0.78,24.96,6.16,39.52,7.61,11.42,5.94,3.77,
3.58,7.91,2.09,2.85,0.00,0.74,2.21,2.31,4.46,8.35,6.60,0.77,6.61,15.97,14.39,0.82,15.81,23.26,25.78,6.04,6.53,9.06,4.93,
3.10,5.27,4.47,2.89,0.00,1.35,1.89,0.00,2.65,16.05,3.21,0.94,11.42,10.81,31.06,2.19,18.30,21.09,7.28,4.60,3.23,6.36,4.30,
6.16,6.99,3.62,5.69,0.00,2.44,1.68,0.16,7.56,5.98,10.61,3.31,0.42,10.76,17.62,2.20,27.23,35.09,31.08,6.32,12.47,4.98,3.96,
5.17,10.02,4.13,2.34,0.00,1.44,3.77,1.39,6.40,12.08,1.26,3.09,16.89,12.12,46.54,3.73,36.20,12.05,7.47,3.13,2.34,3.81,5.18,
4.79,8.21,5.11,5.15,0.00,2.26,3.62,0.18,10.57,13.69,7.24,1.58,6.30,9.79,18.03,3.20,27.79,10.64,15.27,10.17,4.85,9.68,9.19,
5.60,6.01,3.75,3.29,0.00,4.28,3.93,1.89,7.24,15.12,9.25,2.11,15.78,11.59,15.93,0.00,14.97,29.89,27.00,1.99,6.26,8.75,6.44,
4.08,4.40,4.53,2.07,0.00,2.41,4.70,0.63,6.83,6.06,5.38,2.04,21.80,15.98,21.30,9.20,26.72,9.63,36.11,5.60,10.64,5.86,7.83,
5.38,9.76,3.39,5.22,0.00,3.20,1.67,0.89,5.81,12.46,5.52,1.74,4.42,7.99,40.74,1.15,23.63,9.63,31.89,6.28,9.77,8.39,4.50,
3.40,4.93,1.99,0.43,0.00,2.55,1.59,0.00,10.24,11.44,6.49,1.32,12.81,11.65,17.97,1.69,24.99,5.76,33.93,9.51,5.27,4.22,3.93,
2.75,5.63,3.16,1.66,0.00,2.39,2.57,2.22,4.59,6.95,6.14,4.45,24.90,14.38,36.40,3.58,20.03,10.59,20.21,5.12,8.18,5.15,3.49,
5.15,7.44,3.73,2.46,0.00,2.45,2.27,3.37,9.01,9.91,6.74,1.87,16.38,13.22,26.75,4.89,24.47,10.01,4.13,11.69,5.29,4.21,3.13,
4.92,6.82,3.52,6.96,0.00,7.10,4.24,0.40,8.00,10.35,4.06,0.64,12.40,13.81,22.48,7.83,16.63,13.50,36.50,2.74,3.50,8.86,5.08,
4.76,11.50,3.96,10.20,0.00,3.59,3.47,0.05,6.73,13.71,7.90,0.60,20.75,10.43,39.86,1.59,11.09,21.40,11.94,8.30,3.22,8.74,3.74,
2.23,6.26,2.32,1.52,0.00,1.10,2.77,3.27,3.31,6.32,7.40,1.39,17.55,9.30,21.98,1.21,11.56,29.83,24.10,6.00,7.23,5.05,3.42,
3.54,5.78,3.98,2.47,0.00,10.35,2.54,0.00,10.93,3.72,6.69,1.91,4.56,9.17,56.48,3.30,17.74,23.38,7.34,4.47,7.21,6.77,4.89,
3.56,7.65,3.99,4.38,0.00,12.73,7.79,1.14,10.74,8.77,10.19,0.36,17.34,14.16,46.48,1.12,15.34,28.83,12.73,3.19,3.89,5.03,5.96,
3.51,3.80,3.36,0.89,0.00,2.43,1.84,0.00,5.18,6.95,2.88,3.84,3.48,8.05,44.75,0.61,26.13,16.82,15.17,4.56,10.40,2.93,4.50,
